2022-05-16 21:05:471 INFO  ComputerPage :43 - Click on desktop[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]]
2022-05-16 21:05:06 INFO  DesktopsPage :67 - Build your own computer[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-16 21:05:11 INFO  DesktopsPage :72 - Select processor[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //select[@id='product_attribute_1']]
2022-05-16 21:05:75 INFO  DesktopsPage :77 - select ram[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //select[@id='product_attribute_2']]
2022-05-16 21:05:181 INFO  DesktopsPage :82 - Select Hdd400 GB [+$100.00]
2022-05-16 21:05:500 INFO  DesktopsPage :111 - Add to cart[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-16 21:05:460 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-16 21:05:840 INFO  ComputerPage :33 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 21:05:608 INFO  ComputerPage :43 - Click on desktop[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]]
2022-05-16 21:05:164 INFO  DesktopsPage :67 - Build your own computer[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-16 21:05:456 INFO  DesktopsPage :72 - Select processor[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //select[@id='product_attribute_1']]
2022-05-16 21:05:535 INFO  DesktopsPage :77 - select ram[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //select[@id='product_attribute_2']]
2022-05-16 21:05:677 INFO  DesktopsPage :82 - Select Hdd320 GB
2022-05-16 21:05:986 INFO  DesktopsPage :111 - Add to cart[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-16 21:05:51 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-16 21:05:914 INFO  ComputerPage :33 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (334d9aced38ce34fefa10afcbafedac2)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 21:05:374 INFO  ComputerPage :43 - Click on desktop[[ChromeDriver: chrome on WINDOWS (334d9aced38ce34fefa10afcbafedac2)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]]
2022-05-16 21:05:794 INFO  DesktopsPage :67 - Build your own computer[[ChromeDriver: chrome on WINDOWS (334d9aced38ce34fefa10afcbafedac2)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-16 21:05:439 INFO  DesktopsPage :72 - Select processor[[ChromeDriver: chrome on WINDOWS (334d9aced38ce34fefa10afcbafedac2)] -> xpath: //select[@id='product_attribute_1']]
2022-05-16 21:05:482 INFO  DesktopsPage :77 - select ram[[ChromeDriver: chrome on WINDOWS (334d9aced38ce34fefa10afcbafedac2)] -> xpath: //select[@id='product_attribute_2']]
2022-05-16 21:05:532 INFO  DesktopsPage :82 - Select Hdd320 GB
2022-05-16 21:05:678 INFO  DesktopsPage :113 - Add to cart[[ChromeDriver: chrome on WINDOWS (334d9aced38ce34fefa10afcbafedac2)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-18 13:05:732 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:687 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (994ea45171b55ca656fd682d441ca27a)] -> link text: Log in]
2022-05-18 13:05:717 INFO  LoginPage :43 - Getting text from : [[ChromeDriver: chrome on WINDOWS (994ea45171b55ca656fd682d441ca27a)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-18 13:05:891 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:230 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8fbf3b38ad6a3f7ccd8f1621c19a8eff)] -> link text: Log in]
