2022-05-15 14:05:408 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:882 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (62de2c21d0ad50b2307eab000be2a2ac)] -> link text: Log in]
2022-05-15 14:05:71 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:144 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (36d678472009f1b82a2fff5b5772cfbe)] -> link text: Log in]
2022-05-15 14:05:904 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:280 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e24961895e5f42d8c8b89418a9087175)] -> link text: Log in]
2022-05-15 14:05:316 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (e24961895e5f42d8c8b89418a9087175)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 14:05:27 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:596 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dd09617d076ba75c354a09e121ed1a16)] -> link text: Log in]
2022-05-15 14:05:795 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:756 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8bbcae06fee208287a3eed8e9d97656d)] -> link text: Log in]
2022-05-15 14:05:971 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:43 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (31f72956deace556972e32290ae75aa0)] -> link text: Log in]
2022-05-15 14:05:257 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:207 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (bed59de37c01d4062eece3b8c505efba)] -> link text: Log in]
2022-05-15 14:05:00 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:190 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (be000940e34646a34defae41ecf6d8d4)] -> link text: Log in]
2022-05-15 14:05:218 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (be000940e34646a34defae41ecf6d8d4)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 14:05:905 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:87 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4e910e3dfbd049a0d5de9eaa7bbe6fab)] -> link text: Log in]
2022-05-15 14:05:307 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:240 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (fac08d08a718b4610a81a9d929ffad77)] -> link text: Log in]
2022-05-15 14:05:477 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:311 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a0cffc4f6abbad66202bf42bddd51286)] -> link text: Log in]
2022-05-15 14:05:643 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:688 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4242f02dcd23ee2da82804581da4ff55)] -> link text: Log in]
2022-05-15 14:05:412 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:688 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (9bd3e72cccccfca1afb65ed545e572c5)] -> link text: Log in]
2022-05-15 14:05:714 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (9bd3e72cccccfca1afb65ed545e572c5)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 14:05:403 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:492 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (268dc4553508c863252adde78fe6ac31)] -> link text: Log in]
2022-05-15 14:05:743 INFO  ManageDriver :33 - Launching Chrome Browser
